,district,index,rank
1,Khordha,100.0,1
2,Sundargarh,95.4671343953,2
3,Cuttack,88.5525300989,3
4,Anugul,83.5440946068,4
5,Ganjam,80.6096263904,5
6,Jajapur,78.532034443,6
7,Kendujhar,70.6110919973,7
8,Sambalpur,66.4938203903,8
9,Jharsuguda,63.5699517688,9
10,Jagatsinghapur,63.480126122,10
11,Koraput,59.4917472933,11
12,Bargarh,53.003079667,12
13,Puri,51.5664024728,13
14,Bhadrak,45.6031576136,14
15,Dhenkanal,45.0782295221,15
16,Baleshwar,44.2583081899,16
17,Mayurbhanj,43.7886394056,17
18,Kendrapara,42.4515696936,18
19,Rayagada,34.1179999331,19
20,Balangir,33.0627228808,20
21,Baudh,32.5769881876,21
22,Nayagarh,30.7014042467,22
23,Gajapati,28.8136024577,23
24,Kalahandi,22.4747777685,24
25,Nuapada,19.1585622918,25
26,Debagarh,17.9604819282,26
27,Subarnapur,17.003348743,27
28,Kandhamal,16.8769332067,28
29,Malkangiri,7.60846804774,29
30,Nabarangapur,1.0,30
